handle,title,channel_type_guess,likely_individual_shop,parseable_score,extracted_quote_messages,extracted_usd_quotes,extracted_eur_quotes,extracted_buy_sell_pairs,city_mentions,signal_richness_score,recommended_priority,notes,status
arz_tala_online,قیمت ارز، طلا و سکه,unclear,False,33,1,1,0,1,,14,P4,stable post format,ok
arzcafe,قیمت دلار، ارز، سکه، تتر و بیت کوین,market_price_channel,False,95,20,20,20,0,,70,P1,repeated quote messages; stable post format,ok
arzchande,ارز چنده؟ | Bonbast | بن بست,market_price_channel,False,76,20,20,20,0,,63,P2,repeated quote messages,ok
avatodaydollar,Avatoday Dollar exchange آواتودی دلار,individual_exchange_shop,True,87,20,20,1,1,Tehran,59,P2,repeated quote messages; likely direct shop,ok
baghdad,BAGHDAD,aggregator,False,38,1,0,0,0,,12,P4,stable post format,ok
bonbast_exchange,نرخ دلار، یورو، پوند | بن بست | Bonbast,market_price_channel,False,95,20,20,20,0,,60,P2,repeated quote messages,ok
cryptobotru,Новости Crypto Bot,aggregator,False,42,3,3,0,0,,12,P4,limited structured signals,ok
daviditsupportuklondon,DAVID IT SUPPORT UK,individual_exchange_shop,True,89,14,7,7,7,London,57,P2,repeated quote messages; buy/sell pairs present; likely direct shop,ok
denar_online,ارز ساحلی بوکان,unclear,False,33,8,7,0,0,Herat,31,P4,repeated quote messages; stable post format,ok
dhsusdt,DHs usdt,market_price_channel,False,50,6,6,0,6,,28,P4,buy/sell pairs present,ok
dolarefeham,🔵 خبر دلار فهام 🔴,individual_exchange_shop,True,89,20,20,0,1,Tehran,61,P2,repeated quote messages; likely direct shop,ok
dolarsaghez,دلار سقز,individual_exchange_shop,True,95,20,20,0,9,Tehran,72,P1,repeated quote messages; buy/sell pairs present; likely direct shop,ok
dolartalaa,💰قیمت لحظه‌ای آبشده💰مع ف 🔔📅 مظنه,dealer_network_channel,False,50,10,0,0,0,,20,P4,repeated quote messages,ok
dollar_sulaymaniyah,قیمت لحظه ای دلار سلیمانیه,market_price_channel,False,76,13,0,0,0,,32,P4,repeated quote messages; stable post format,ok
exchangeratescountries,نرخ ارز ساعتی £ $ €,individual_exchange_shop,True,91,16,11,11,11,London,75,P1,repeated quote messages; buy/sell pairs present; likely direct shop,ok
gold_mesghal,👎💰 تحلیل تکنیکال آبشده نقدی رسمی و غیررسمی Gold_Mesghal 💰👍,individual_exchange_shop,True,71,18,8,6,7,Tehran,64,P1,repeated quote messages; buy/sell pairs present; likely direct shop,ok
groupsarafilondonuk,گروه تجاری مالی لندن London,individual_exchange_shop,True,90,15,7,7,15,London,68,P1,repeated quote messages; buy/sell pairs present; likely direct shop,ok
haratdollar,دلار هرات 🅅🄸🄿,market_price_channel,False,80,17,0,0,0,Herat,38,P3,repeated quote messages; stable post format,ok
kukh_alomlat,شركة القصر للصرافة,market_price_channel,False,86,16,0,0,0,,38,P3,repeated quote messages; stable post format,ok
navasanchannel,نوسان - اعلان لحظه ای نرخ ارز و سکه,market_price_channel,False,76,14,12,12,10,,70,P1,repeated quote messages; buy/sell pairs present; stable post format,ok
nerkhedolar1,دلار فردایی تهران,individual_exchange_shop,True,92,19,19,0,0,Tehran,51,P3,repeated quote messages; likely direct shop,ok
nerkhtetheruk,نرخ ارز دیجیتال تتر لندن,individual_exchange_shop,True,89,14,7,7,7,London,57,P2,repeated quote messages; buy/sell pairs present; likely direct shop,ok
sarafha_com,نرخ لحظه ای ارز و طلا,aggregator,False,91,16,16,16,0,,55,P3,repeated quote messages,ok
sarafha_rate,کانال قیمت لحظه ای دلار، یورو، سکه و طلا,aggregator,False,69,12,12,12,0,,46,P4,repeated quote messages,ok
sarafionline7groupuk,Nerkh Sarafi Online 7 Group Uk,individual_exchange_shop,True,88,13,13,13,6,London|Tehran,64,P1,repeated quote messages; buy/sell pairs present; likely direct shop,ok
sarafionlineuk,Sarafi Online 7 Seven Uk,individual_exchange_shop,True,91,13,8,8,4,London,52,P2,repeated quote messages; buy/sell pairs present; likely direct shop,ok
selidol,نرخ دلار سلیمانیه,market_price_channel,False,82,15,0,0,0,,30,P4,repeated quote messages,ok
sepehrexchange1,حواله فوری یوآن CNY 🇨🇳 RMB,unclear,False,34,1,0,0,0,,12,P4,stable post format,ok
tonblog,TON — BLOG,aggregator,False,38,1,1,0,0,,13,P4,stable post format,ok
tonprice,TON PRICE,market_price_channel,False,95,20,20,20,0,,60,P2,repeated quote messages,ok
zarscan,زر اسکن | قیمت لحظه ای طلا و دلار,aggregator,False,95,20,20,0,0,,60,P2,repeated quote messages; stable post format,ok
